course_name,course_code,section,Fall-2024,registration_dates,level,credit,campus,schedule_type,instructional_method,type,time,days,location,date_range,lecture_type,instructors
Advanced Accounting Theory,80120,ACCT 32900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Principles of Auditing,82294,ACCT 42000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,12:30 pm - 3:00 pm,M,St Charles Borromeo SB 154,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Individual Income Tax,80110,ACCT 43000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,12:30 pm - 1:45 pm,TR,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Individual Income Tax,80117,ACCT 43000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,6:00 pm - 8:40 pm,T,St Charles Borromeo SB 143,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Managerial Accounting,80105,ACCT 55000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Graduate,3,Oak Brook Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,6:00 pm - 10:00 pm,R,Oakbrook OB 730,"Aug 26, 2024 - Oct 19, 2024",Lecture,TBA
Managerial Accounting,80106,ACCT 55000,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Graduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,6:00 pm - 10:00 pm,R,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Lecture,Ting   He (P)
Drawing,80247,ARTS 10000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:00 am - 9:50 am,MWF,Fine Arts FA 105,"Aug 26, 2024 - Dec 14, 2024",Lecture,Simon   Dai (P)
Drawing,80251,ARTS 10000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MWF,Fine Arts FA 105,"Aug 26, 2024 - Dec 14, 2024",Lecture,Paul R  Mitchell (P)
Drawing for majors,80257,ARTS 10000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MWF,Fine Arts FA 105,"Aug 26, 2024 - Dec 14, 2024",Lecture,Paul R  Mitchell (P)
Drawing,80261,ARTS 10000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,6:30 pm - 9:00 pm,T,Fine Arts FA 105,"Aug 26, 2024 - Dec 14, 2024",Lecture,Paul R  Mitchell (P)
Painting,80262,ARTS 11000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 12:15 pm,TR,Fine Arts FA 100,"Aug 26, 2024 - Dec 14, 2024",Lecture,Joseph   LoPresti (P)
Painting for majors,80264,ARTS 11000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 12:15 pm,TR,Fine Arts FA 100,"Aug 26, 2024 - Dec 14, 2024",Lecture,Joseph   LoPresti (P)
Painting,80270,ARTS 11000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,TR,Fine Arts FA 100,"Aug 26, 2024 - Dec 14, 2024",Lecture,Joseph   LoPresti (P)
2-D Design Fundamentals,80273,ARTS 13000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 10:50 am,MWF,Fine Arts FA 104,"Aug 26, 2024 - Dec 14, 2024",Lecture,Leslie   Colonna (P)
3-D Design,80275,ARTS 13300,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MWF,Fine Arts FA 104,"Aug 26, 2024 - Dec 14, 2024",Lecture,Leslie   Colonna (P)
Illustration,82146,ARTS 15000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,TR,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Lecture,Kristin C  Callahan (P)
Digital Photography,80279,ARTS 18100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,4:00 pm - 6:29 pm,R,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Lecture,Jennifer A  Moore (P)
Digital Photography,80284,ARTS 18100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,6:30 pm - 9:00 pm,R,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Lecture,Jennifer A  Moore (P)
Concept Development and Storyboarding,80288,ARTS 22000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,TR,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Lecture,Kristin C  Callahan (P)
Introduction to Graphic Design,80293,ARTS 23100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Jennifer   Hardin (P)
Introduction to Graphic Design,80297,ARTS 23100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 10:50 am,MWF,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Lecture,Simon   Dai (P)
Art Appreciation,80308,ARTS 24100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Paul R  Mitchell (P)
Art Appreciation,80311,ARTS 24100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Joseph   LoPresti (P)
Art Appreciation,80312,ARTS 24100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Jennifer   Hardin (P)
Art Appreciation,80317,ARTS 24100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Joseph   LoPresti (P)
Art Appreciation,81586,ARTS 24100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,Jeff   Mishur (P)
Collaborative Design Studio: Jr. Graphic Designer,80332,ARTS 25100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Experiential Schedule Type,Traditional Instructional Method,Class/Lecture,12:30 pm - 1:45 pm,TR,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Experiential,Kristin C  Callahan (P)
Wksp: The Chicago Art Scene,80339,ARTS 29001,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Blended Instructional Method,Class/Lecture,6:00 pm - 9:00 pm,F,Fine Arts FA 104,"Oct 25, 2024 - Oct 25, 2024",Workshop,Joseph   LoPresti (P)
Wksp: The Chicago Art Scene,80339,ARTS 29001,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Blended Instructional Method,Class/Lecture,10:00 am - 4:00 pm,S,Fine Arts FA 104,"Oct 26, 2024 - Oct 26, 2024",Workshop,Joseph   LoPresti (P)
Wksp: Clay Sculpture,80346,ARTS 29007,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,6:00 pm - 9:00 pm,F,Fine Arts FA 104,"Sep 13, 2024 - Sep 13, 2024",Workshop,Leslie   Colonna (P)
Wksp: Clay Sculpture,80346,ARTS 29007,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 4:00 pm,S,Fine Arts FA 104,"Sep 14, 2024 - Sep 14, 2024",Workshop,Leslie   Colonna (P)
Wksp: Clay Sculpture,80348,ARTS 29007,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,6:00 pm - 9:00 pm,F,Fine Arts FA 104,"Nov 08, 2024 - Nov 08, 2024",Workshop,Leslie   Colonna (P)
Wksp: Clay Sculpture,80348,ARTS 29007,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 4:00 pm,S,Fine Arts FA 104,"Nov 09, 2024 - Nov 09, 2024",Workshop,Leslie   Colonna (P)
Wksp: Digital Watercolor Painting,80352,ARTS 29008,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Blended Instructional Method,Class/Lecture,6:00 pm - 9:00 pm,F,Fine Arts FA 107,"Oct 25, 2024 - Oct 25, 2024",Workshop,Jennifer   Hardin (P)
Wksp: Digital Watercolor Painting,80352,ARTS 29008,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Blended Instructional Method,Class/Lecture,10:00 am - 4:00 pm,S,Fine Arts FA 107,"Oct 26, 2024 - Oct 26, 2024",Workshop,Jennifer   Hardin (P)
Wksp: Photoshop Compositing,80353,ARTS 29010,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Blended Instructional Method,Class/Lecture,6:00 pm - 9:00 pm,F,Fine Arts FA 107,"Sep 27, 2024 - Sep 27, 2024",Workshop,Jennifer   Hardin (P)
Wksp: Photoshop Compositing,80353,ARTS 29010,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Blended Instructional Method,Class/Lecture,10:00 am - 4:00 pm,S,Fine Arts FA 107,"Sep 28, 2024 - Sep 28, 2024",Workshop,Jennifer   Hardin (P)
Advanced Drawing,80358,ARTS 30000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,2:00 pm - 4:30 pm,M,Fine Arts FA 104,"Aug 26, 2024 - Dec 14, 2024",Lecture,Leslie   Colonna (P)
Advanced Painting,80361,ARTS 31000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,2:00 pm - 4:30 pm,M,Fine Arts FA 104,"Aug 26, 2024 - Dec 14, 2024",Lecture,Leslie   Colonna (P)
Collaborative Design Studio: Graphic Designer,80363,ARTS 33100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Experiential Schedule Type,Traditional Instructional Method,Class/Lecture,12:30 pm - 1:45 pm,TR,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Experiential,Kristin C  Callahan (P)
Web Design,80366,ARTS 33400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,11:00 am - 11:50 am,M,Fine Arts FA 107,"Aug 26, 2024 - Aug 26, 2024",Lecture,Simon   Dai (P)
Web Design,80366,ARTS 33400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Simon   Dai (P)
Web Design,80366,ARTS 33400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,11:00 am - 11:50 am,M,Fine Arts FA 107,"Sep 09, 2024 - Sep 09, 2024",Lecture,Simon   Dai (P)
Web Design,80366,ARTS 33400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,11:00 am - 11:50 am,M,Fine Arts FA 107,"Sep 23, 2024 - Sep 23, 2024",Lecture,Simon   Dai (P)
Web Design,80366,ARTS 33400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,11:00 am - 11:50 am,M,Fine Arts FA 107,"Oct 07, 2024 - Oct 07, 2024",Lecture,Simon   Dai (P)
Web Design,80366,ARTS 33400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,11:00 am - 11:50 am,M,Fine Arts FA 107,"Oct 21, 2024 - Oct 21, 2024",Lecture,Simon   Dai (P)
Web Design,80366,ARTS 33400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,11:00 am - 11:50 am,M,Fine Arts FA 107,"Oct 28, 2024 - Oct 28, 2024",Lecture,Simon   Dai (P)
Web Design,80366,ARTS 33400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,11:00 am - 11:50 am,M,Fine Arts FA 107,"Nov 11, 2024 - Nov 11, 2024",Lecture,Simon   Dai (P)
Web Design,80366,ARTS 33400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,11:00 am - 11:50 am,M,Fine Arts FA 107,"Nov 25, 2024 - Nov 25, 2024",Lecture,Simon   Dai (P)
Visual and Interactive Storytelling,82147,ARTS 36000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 12:15 pm,TR,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Lecture,Kristin C  Callahan (P)
Advanced Digital Photography,80376,ARTS 38100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,4:00 pm - 6:29 pm,R,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Lecture,Jennifer A  Moore (P)
Advanced Digital Photography,80379,ARTS 38100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,6:30 pm - 9:00 pm,R,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Lecture,Jennifer A  Moore (P)
Art History 2,80383,ARTS 39200,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Class/Lecture,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Sandra   Krohnert (P)
History of Graphic Design,80386,ARTS 39400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Sandra   Krohnert (P)
Senior Project/Seminar,80389,ARTS 40100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Capstone Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Capstone,Simon   Dai (P)
Collaborative Design Studio: Art Director,80397,ARTS 45100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Experiential Schedule Type,Traditional Instructional Method,Class/Lecture,12:30 pm - 1:45 pm,TR,Fine Arts FA 107,"Aug 26, 2024 - Dec 14, 2024",Experiential,Kristin C  Callahan (P)
Art Internship,80401,ARTS 47000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Experiential Schedule Type,Traditional Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Experiential,Simon   Dai (P)
Aviation Fundamentals,80355,AVMT 10600,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 9:50 am,MW,Harold White HW 135,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Aviation Fundamentals,80360,AVMT 10600,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,7:30 am - 9:20 am,MT,Harold White HW 131,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Aviation Fundamentals,80421,AVMT 10600,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,12:00 pm - 1:50 pm,M,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,Steven R  Daudelin (P)
Aviation Fundamentals,80427,AVMT 10601,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,1:00 pm - 2:50 pm,M,Harold White HW 140,"Aug 26, 2024 - Dec 14, 2024",Lab,TBA
Aviation Fundamentals,80430,AVMT 10601,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,1:00 pm - 2:50 pm,W,Harold White HW 140,"Aug 26, 2024 - Dec 14, 2024",Lab,TBA
Aviation Fundamentals,80433,AVMT 10601,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,7:30 am - 9:20 am,W,Harold White HW 140,"Aug 26, 2024 - Dec 14, 2024",Lab,TBA
Aircraft Structures 1,80438,AVMT 11000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 11:50 am,MW,Harold White HW 131,"Aug 26, 2024 - Dec 14, 2024",Lecture,Craig T  Neville (P)
Aircraft Structures Lab,80440,AVMT 11001,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,1:00 pm - 4:50 pm,WR,Harold White HW 170,"Aug 26, 2024 - Dec 14, 2024",Lab,Craig T  Neville (P)
Aircraft Structures Lab,80442,AVMT 11001,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,1:00 pm - 4:50 pm,MT,Harold White HW 170,"Aug 26, 2024 - Dec 14, 2024",Lab,Craig T  Neville (P)
Aircraft Electricity 1,80443,AVMT 12000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 9:50 am,TR,Academic Science Center AS 156A,"Aug 26, 2024 - Dec 14, 2024",Lecture,Paul   Dybinski (P)
Aircraft Electricity Lab,80444,AVMT 12001,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,1:00 pm - 4:50 pm,T,Harold White HW 136,"Aug 26, 2024 - Dec 14, 2024",Lab,Paul   Dybinski (P)
Aircraft Electricity Lab,80445,AVMT 12001,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,1:00 pm - 4:50 pm,R,Harold White HW 136,"Aug 26, 2024 - Dec 14, 2024",Lab,Paul   Dybinski (P)
Airframe Inspection,80524,AVMT 13000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 9:50 am,F,Harold White HW 128,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Introduction to A/C Structures and Engine NDT/NDE Lab,80526,AVMT 13001,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,10:00 am - 11:50 am,F,Harold White HW 170,"Aug 26, 2024 - Dec 14, 2024",Lab,TBA
Introduction to A/C Structures and Engine NDT/NDE Lab,80527,AVMT 13001,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,1:00 pm - 2:50 pm,F,Harold White HW 170,"Aug 26, 2024 - Dec 14, 2024",Lab,TBA
Drafting and Blueprint Reading,80529,AVMT 13500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Christopher T  Stevens (P)
Aircraft Instruments,80544,AVMT 20000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Louis P  Perillo (P)
Aircraft Instruments Lab,80548,AVMT 20001,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,0,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,Lab,5:30 pm - 9:20 pm,M,Harold White HW 160,"Aug 26, 2024 - Dec 14, 2024",Lab,Louis P  Perillo (P)
Aviation Math and Physics,80550,AVMT 20100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Sorin   Bucur (P)
